key,de-DE,en-US
custom.data.type.gfbio.modal.form.popup.jsonpreview.terms,Bezeichnungen,Terms
custom.data.type.gfbio.modal.form.popup.jsonpreview.altterms,Andere Bezeichnungen,Alternative terms
custom.data.type.gfbio.modal.form.popup.jsonpreview.hiddenterms,Versteckte Bezeichnungen,Hidden terms
custom.data.type.gfbio.modal.form.popup.jsonpreview.definition,Definition,Definition
custom.data.type.gfbio.modal.form.popup.jsonpreview.scopenote,Verwendungshinweis,ScopeNote
custom.data.type.gfbio.modal.form.popup.jsonpreview.note,Notiz,Note
custom.data.type.gfbio.modal.form.popup.treeviewreset,Reset,reset
custom.data.type.gfbio.modal.form.popup.treeviewsearch,Suchen,search
custom.data.type.gfbio.modal.form.popup.loadingstringtreeview,Baumansicht wird geladen,loading treeview
custom.data.type.gfbio.modal.form.popup.add_choose,Datensatz verknüpfen,Link record
custom.data.type.gfbio.modal.form.dropdown.choose,auswählen ..,choose ..
custom.data.type.gfbio.config.parameter.schema.lang.value.label,Sprache (ISO 639-1) der Ergebnislabel,Language (ISO 639-1) of resultlabels
custom.data.type.gfbio.setting.schema.lang,Keine Sprache angegeben,No language configured
custom.data.type.gfbio.modal.form.popup.choose_manual_label,Auswahl eines Labels, Choose a label
custom.data.type.gfbio.modal.form.popup.choose_expertsearchmode_.exact,Exakt diese Auswahl,Exact this selection
custom.data.type.gfbio.modal.form.popup.choose_expertsearchmode_.exact_short,Exakt,Exact
custom.data.type.gfbio.modal.form.popup.choose_expertsearchmode_.include_children,Auch Kinder einbeziehen,Include children too
custom.data.type.gfbio.modal.form.popup.choose_expertsearchmode_.include_children_short,Auch Kinder,Include children
custom.data.type.gfbio.modal.form.popup.choose_expertsearchmode_label,Suchmodus für Expertensuche wählen,Select search mode for expert search
custom.data.type.gfbio.modal.form.popup.choose_expertsearchmode_label2,Was wollen Sie finden? Nur exakte Treffer oder auch alle Kinder und Kindeskinder ihrer Suchauswahl?,What do you want to find? Only exact hits or also all children and grandchildren in your search selection?
custom.data.type.gfbio.modal.form.popup.choose_expertsearchmode_label3,Ausgewählt,Selected
server.config.name.system.endpointurl,API-URL,API-URL
server.config.parameter.system.endpointurl.endpointurl.label,API-URL,API-URL
custom.data.type.commons.popover.choose.label,Auswahl treffen,choose
custom.data.type.commons.modal.form.popup.loadingstring,Lade Informationen,loading
custom.data.type.commons.controls.search.label,Suchen,Search
custom.data.type.commons.controls.detailinfo.label,Detailinfo, Details
custom.data.type.commons.controls.calluri.label,Uri aufrufen,Call URI
custom.data.type.commons.controls.delete.label,Löschen,Delete
custom.data.type.gfbio.config.parameter.mask.overwrite_ontology_configuration.value.label,Ontology-Konfiguration aus Schema überschreiben,Overwrite ontology-configuration from schema
